Ã¯Â»Â¿No.,"Author, Specimen ID ",Comments,Cross-section,Test Type and Configuration,Sustained Loading (% Ultimate),Width (mm),Depth (mm),Length (mm),Test Length (mm),Side Cover to Ctr of Tension Bar (mm),Bottom Cover to Ctr of Tension Bar (mm),Top Cover to Ctr of Compression Bar (mm),Reinforcement Design,# Tensile Bars,"Diameter Tensile Bars, db,t (mm)","Tension Reinforcement Ratio, pten (%)",# Compression Bars,"Diameter Comp Bars, db,c (mm)",Longitudinal Bar Type,Tension Bar End Anchorage,Lsplice (mm),"fy Longitudinal Bars (Tensile), (MPa) ","fsu Long Bars, (MPa)","Comp Reinforcement Ratio, pcom (%)",# Stirrup Legs,Stirrup Bar Type,"Stirrup Spacing, s (mm) ","Stirrup Diameter, ds (mm)","fy,s Stirrup Bars","Stirrup Volumetric Ratio, ÃÂs",Cement Type,W/C Ratio,Max Aggregate Size (mm),Comp. Test Method,f'c (MPa),Corrosion Method,Cathode Type,"Corrosion Zone Length, Lc (mm)","Corrosion Current Density, Icorr (ÃÂ¼A/cm2)","Duration, (days)",Solution Concetration (% NaCl),Immersion Depth (mm),Wet/Dry Cyclic Ratio (days),"Mass Loss (Tensile bars), ÃÂ·m (%)","Average Sample Length, (mm)","Corrosion Penetration Depth, Xaver (mm)","Shear Span, x (mm)",Py (kN),Pmax (kN),"Mmax,exp (kNm)","Residual Capacity, R (%)",MACI (kNm),"Mmax,exp/ MACI (%)",ÃÂy (mm),ÃÂult (mm),"Elastic Stiffness, k (kN/mm)","Displacement Ductility, ÃÂ¼ÃÂ",Failure Mode,Extra Notes
408,"Xia et al. (2012), BII-4",Partial corrosion over central 1000 mm.,R,SS_FPB_MONO,0,150,200,1500,1200,48,48,45,T_C,2,16,1.34,2,10,D,H-90,0,466.47,631.65,0.524,2,P,100,10,319.6,1.047,OPC,0.36,16,Cube,35.6,IC,External stainless steel net,1000,2000,44.3,5,100,4:3,10.28,1000,0.411,350,177.8,200.23,35.04,91.01,29.31,119.53,7.44,18.9,23.9,2.54,Flexural-bending (brittle),
409,"Xia et al. (2012), BII-5",Partial corrosion over central 1000 mm.,R,SS_FPB_MONO,0,150,200,1500,1200,48,48,45,T_C,2,16,1.34,2,10,D,H-90,0,435.77,596.33,0.524,2,P,100,10,319.6,1.047,OPC,0.36,16,Cube,35.6,IC,External stainless steel net,1000,2000,50.7,5,100,4:3,13.2,1000,0.528,350,188.7,205.03,35.88,93.19,29.31,122.4,6.33,35.15,29.81,5.55,Flexural-bending (ductile),
410,"Xia et al. (2012), BII-6",Partial corrosion over central 1000 mm.,R,SS_FPB_MONO,0,150,200,1500,1200,48,48,45,T_C,2,16,1.34,2,10,D,H-90,0,423.99,582.79,0.524,2,P,100,10,319.6,1.047,OPC,0.36,16,Cube,35.6,IC,External stainless steel net,1000,2000,57.2,5,100,4:3,14.32,1000,0.573,350,168.9,189.03,33.08,85.92,29.31,112.84,4.26,19.36,39.65,4.54,Flexural-bending (brittle),
411,"Xia et al. (2012), BII-7",Partial corrosion over central 1000 mm.,R,SS_FPB_MONO,0,150,200,1500,1200,48,48,45,T_C,2,16,1.34,2,10,D,H-90,0,392.66,546.74,0.524,2,P,100,10,319.6,1.047,OPC,0.36,16,Cube,35.6,IC,External stainless steel net,1000,2000,63.7,5,100,4:3,17.3,1000,0.692,350,170.05,196.51,34.39,89.32,29.31,117.31,4.59,27.41,37.05,5.97,Flexural-bending (ductile),
412,"Xia et al. (2012), BII-8",Partial corrosion over central 1000 mm.,R,SS_FPB_MONO,0,150,200,1500,1200,48,48,45,T_C,2,16,1.34,2,10,D,H-90,0,384.67,537.55,0.524,2,P,100,10,319.6,1.047,OPC,0.36,16,Cube,35.6,IC,External stainless steel net,1000,2000,69.3,5,100,4:3,18.06,1000,0.722,350,162.3,197.03,34.48,89.56,29.31,117.62,4.77,17.83,34.03,3.74,Flexural-bending (brittle),
413,"Xia et al. (2012), BII-9",Partial corrosion over central 1000 mm.,R,SS_FPB_MONO,0,150,200,1500,1200,48,48,45,T_C,2,16,1.34,2,10,D,H-90,0,359.85,509,0.524,2,P,100,10,319.6,1.047,OPC,0.36,16,Cube,35.6,IC,External stainless steel net,1000,2000,75.8,5,100,4:3,20.42,1000,0.817,350,169.3,183.6,32.13,83.45,29.31,109.6,5.29,18.44,32,3.49,Flexural-bending (brittle),
414,"Dang and FranÃÂ§ois (2013), A2T",Control. 27 years old.,R,SS_TPB_MONO_SUST,80,150,280,3000,2860,56,56,52,T_C,2,16,0.957,2,8,D,S,0,564.65,622.3,0.239,2,D,220,8,550,0.305,OPC-HP,0.5,15,Cylinder,65.3,C,Control,0,0,0,0,0,N/A,0,0,0,1430,67.39,74.8,53.48,100,48.03,111.35,13.09,64.66,5.15,4.94,Flexural-bending (ductile),Sustained loading maintained during 19 years then stored for a further 8 years until testing. Reinforcement capacities calculated based on measured tensile force and average residual cross-sectional area.
415,"Dang and FranÃÂ§ois (2013), A2C11",27 years old.,R,SS_TPB_MONO_SUST,80,150,280,3000,2860,56,56,52,T_C,2,16,0.957,2,8,D,S,0,619.81,703.44,0.239,2,D,220,8,353.8,0.305,OPC-HP,0.5,15,Cylinder,63.3,EI,N/A,3000,1.8,9863,3.5,280,7:7,39.94,150,1.598,1430,46.97,52.73,37.7,70.49,47.88,78.74,12.19,34.57,3.85,2.84,Flexural-bending (brittle),First 6 years 7:15 wet dry ratio. 6 -19 years 7:7 ratio. Sustained loading and salt fog removed at 19 years. 19 - 27 years beams stored until test. Salt fog (35 g/L NaCl) used 0.1 MPa compressed air. Reinforcement capacities calculated based on measured tensile force and average residual cross-sectional area.
416,"Du et al. (2013), CB5",Control.,R,SS_TPB_MONO_SUST,60,100,150,1300,1000,30,30,29,T_C,2,8,0.67,2,6,D,S,0,478,557,0.377,2,P,100,6,286,0.565,OPC,0.65,10,Cube,39.2,C,Control,0,0,0,0,0,N/A,0,0,0,500,14.7,25.6,6.4,100,5.55,115.4,2.85,69.3,5.16,24.32,Flexural-bending (ductile),
417,"Du et al. (2013), CB1",Exposed to air for 29 days posT_Cure prior to loading. Symmetrical partial corrosion.,R,SS_TPB_MONO_SUST,60,100,150,1300,1000,30,30,29,T_C,2,8,0.67,2,6,D,S,0,355.54,517.6,0.377,2,P,100,6,286,0.565,OPC,0.65,10,Cube,39.2,IC,External stainless steel plate,150,500,50,3.5,50,0.92:0.08,14,1300,0.28,500,15.1,15.4,3.85,60.16,5.55,69.42,2.67,9.2,5.66,3.45,Flexural-bending (brittle),Wet and dry cycle involved 2 hours of NaCl spray and 22 hours of drying for full duration. Implied that full length of tensile bars extracted and weighed.
418,"Du et al. (2013), CB2",Exposed to air for 29 days posT_Cure prior to loading. Symmetrical partial corrosion.,R,SS_TPB_MONO_SUST,60,100,150,1300,1000,30,30,29,T_C,2,8,0.67,2,6,D,S,0,311.8,505.4,0.377,2,P,100,6,286,0.565,OPC,0.65,10,Cube,39.2,IC,External stainless steel plate,500,500,55,3.5,50,0.92:0.08,19,1300,0.38,500,15,15,3.75,58.59,5.55,67.61,1.95,8.93,7.69,4.58,Flexural-bending (brittle),Wet and dry cycle involved 2 hours of NaCl spray and 22 hours of drying for full duration. Implied that full length of tensile bars extracted and weighed.
419,"Du et al. (2013), CB3",Exposed to air for 29 days posT_Cure prior to loading. Non-symmetrical partial corrosion - to the right of mid-span.,R,SS_TPB_MONO_SUST,60,100,150,1300,1000,30,30,29,T_C,2,8,0.67,2,6,D,S,0,338.04,513,0.377,2,P,100,6,286,0.565,OPC,0.65,10,Cube,39.2,IC,External stainless steel plate,300,500,50,3.5,50,0.92:0.08,16,1300,0.32,500,15,15,3.75,58.59,5.55,67.61,2.79,9.81,5.38,3.52,Flexural-bending (brittle),Wet and dry cycle involved 2 hours of NaCl spray and 22 hours of drying for full duration. Implied that full length of tensile bars extracted and weighed.
420,"Du et al. (2013), CB4",Exposed to air for 29 days posT_Cure prior to loading. Non-symmetrical partial corrosion - to the right of mid-span.,R,SS_TPB_MONO_SUST,60,100,150,1300,1000,30,30,29,T_C,2,8,0.67,2,6,D,S,0,241.82,482.3,0.377,2,P,100,6,286,0.565,OPC,0.65,10,Cube,39.2,IC,External stainless steel plate,650,500,60,3.5,50,0.92:0.08,27,1300,0.54,500,15.1,19.9,4.98,77.73,5.55,89.7,2.27,29.16,6.65,12.85,Flexural-bending (ductile),Wet and dry cycle involved 2 hours of NaCl spray and 22 hours of drying for full duration. Implied that full length of tensile bars extracted and weighed.
421,"Ma et al. (2013), LA1",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,41,44,41,T_C,3,18,1.037,2,12,D,H-90,0,360,560,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,245,270,94.5,100,52.43,180.24,6.6,18.3,37.12,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
422,"Ma et al. (2013), LA2",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,35,35,31,T_C,3,20,1.236,2,12,D,H-90,0,373.7,578.3,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,280,305,106.75,100,66.87,159.64,6.6,18.3,42.42,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
423,"Ma et al. (2013), LA3",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,41,41,36,T_C,3,22,1.456,2,12,D,H-90,0,380.15,569.56,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,270,295,103.25,100,76.52,134.94,6.6,18.3,40.91,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
424,"Ma et al. (2013), LA4",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,D,H-90,0,373.7,578.3,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,230,255,89.25,100,65.13,137.03,6.6,18.3,34.85,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
425,"Ma et al. (2013), LA5",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,39,39,36,T_C,3,18,1.037,2,12,D,H-90,0,360,560,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,190,215,75.25,100,53.67,140.2,6.6,18.3,28.79,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
426,"Ma et al. (2013), LA6",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,45,45,41,T_C,3,20,1.236,2,12,D,H-90,0,373.7,578.3,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,240,265,92.75,100,63.48,146.12,6.6,18.3,36.36,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
427,"Ma et al. (2013), LA7",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,36,36,31,T_C,3,22,1.456,2,12,D,H-90,0,380.15,569.56,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,210,235,82.25,100,78.46,104.83,6.6,18.3,31.82,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
428,"Ma et al. (2013), LA8",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,D,H-90,0,373.7,578.3,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,275,300,105,100,65.13,161.21,6.6,18.3,41.67,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
429,"Ma et al. (2013), LA9",Three tensile reinforcing bars - two 18 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,34,34,31,T_C,3,18,1.037,2,12,D,H-90,0,343.99,538.23,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,2,5,300,N/A,2.43,500,0.109,700,179,200,70,93.02,55,127.28,7.6,17.1,23.55,2.25,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
430,"Ma et al. (2013), LA10",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,D,H-90,0,340.19,532.96,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,4.9,500,0.245,700,190,210,73.5,82.35,65.13,112.84,7.6,17.1,25,2.25,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
431,"Ma et al. (2013), LA11",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,46,46,41,T_C,3,22,1.456,2,12,D,H-90,0,380.15,569.56,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,200,225,78.75,100,74.49,105.73,6.6,18.3,30.3,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
432,"Ma et al. (2013), LA12",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,35,35,31,T_C,3,20,1.236,2,12,D,H-90,0,344.91,539.35,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,4.21,500,0.211,700,220,230,80.5,75.41,66.87,120.38,7.6,17.1,28.95,2.25,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
433,"Ma et al. (2013), LA13",Three tensile reinforcing bars - two 18 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,34,34,31,T_C,3,18,1.037,2,12,D,H-90,0,332.66,522.82,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,4.15,500,0.187,700,150,175,61.25,81.4,55,111.37,7.6,17.1,19.74,2.25,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
434,"Ma et al. (2013), LA14",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,D,H-90,0,373.7,578.3,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,220,245,85.75,100,65.13,131.65,6.6,18.3,33.33,2.77,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
435,"Ma et al. (2013), LA15",Three tensile reinforcing bars - two 22 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,46,46,41,T_C,3,22,1.456,2,12,D,H-90,0,350.31,530.47,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,4.29,500,0.236,700,210,230,80.5,102.22,74.49,108.08,7.6,17.1,27.63,2.25,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
436,"Ma et al. (2013), LA16",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,45,45,41,T_C,3,20,1.236,2,12,D,H-90,0,340.81,533.79,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,4.81,500,0.241,700,210,230,80.5,86.79,63.48,126.82,7.6,17.1,27.63,2.25,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
437,"Ma et al. (2013), LA17",Three tensile reinforcing bars - two 18 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,44,44,41,T_C,3,18,1.037,2,12,D,H-90,0,319.68,505.16,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,6,5,300,N/A,6.12,500,0.275,700,129,152,53.2,56.3,52.43,101.47,7,15.6,18.43,2.23,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
438,"Ma et al. (2013), LA18",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,35,35,31,T_C,3,20,1.236,2,12,D,H-90,0,305.65,486.23,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,8,5,300,N/A,9.95,500,0.498,700,160,193,67.55,63.28,66.87,101.02,6.8,14.3,23.53,2.1,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
439,"Ma et al. (2013), LA19",Three tensile reinforcing bars - two 22 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,41,41,36,T_C,3,22,1.456,2,12,D,H-90,0,311,478.98,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,10,5,300,N/A,9.94,500,0.547,700,180,213,74.55,72.2,85.99,86.7,6.8,14.3,26.47,2.1,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
440,"Ma et al. (2013), LA20",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,D,H-90,0,342.58,536.2,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,4.55,500,0.228,700,220,240,84,94.12,65.13,128.97,7.6,17.1,28.95,2.25,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
441,"Ma et al. (2013), LA21",Three tensile reinforcing bars - two 18 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,39,39,36,T_C,3,18,1.037,2,12,D,H-90,0,249.91,410.28,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,14,5,300,N/A,16.71,500,0.752,700,120,153,53.55,71.16,53.67,99.77,6,12.9,20,2.15,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
442,"Ma et al. (2013), LA22",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,45,45,41,T_C,3,20,1.236,2,12,D,H-90,0,299.91,478.46,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,8,5,300,N/A,10.79,500,0.54,700,180,213,74.55,80.38,63.48,117.44,6,12.9,30,2.15,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
443,"Ma et al. (2013), LA23",Three tensile reinforcing bars - two 22 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,36,36,31,T_C,3,22,1.456,2,12,D,H-90,0,306.2,472.69,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,10,5,300,N/A,10.63,500,0.585,700,190,223,78.05,94.89,87.65,89.05,6,12.9,31.67,2.15,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
444,"Ma et al. (2013), LA24",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,D,H-90,0,285.96,459.59,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,10,5,300,N/A,12.83,500,0.642,700,160,193,67.55,64.33,65.13,103.71,6,12.9,26.67,2.15,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
445,"Ma et al. (2013), LB1",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,44,44,41,T_C,3,18,1.037,2,12,P,H-90,0,250,390,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,109,173,60.55,100,37.53,161.32,5.25,15.35,20.76,2.92,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
446,"Ma et al. (2013), LB2",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,35,35,31,T_C,3,20,1.236,2,12,P,H-90,0,258.25,393.39,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,180,173,60.55,100,47.25,128.15,5.25,15.35,34.29,2.92,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
447,"Ma et al. (2013), LB3",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,41,41,36,T_C,3,22,1.456,2,12,P,H-90,0,274.38,426.17,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,170,173,60.55,100,56.69,106.81,5.25,15.35,32.38,2.92,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
448,"Ma et al. (2013), LB4",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,P,H-90,0,258.25,393.39,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,150,173,60.55,100,46.19,131.09,5.25,15.35,28.57,2.92,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
449,"Ma et al. (2013), LB5",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,39,39,36,T_C,3,18,1.037,2,12,P,H-90,0,250,390,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,150,173,60.55,100,38.22,158.43,5.25,15.35,28.57,2.92,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
450,"Ma et al. (2013), LB6",Three tensile reinforcing bars - two 20 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,45,45,41,T_C,3,20,1.236,2,12,P,H-90,0,253,386.4,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,2,5,300,N/A,1.11,500,0.056,700,150,173,60.55,100,43.76,138.37,5.25,15.35,28.57,2.92,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
451,"Ma et al. (2013), LB7",Three tensile reinforcing bars - two 22 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,36,36,31,T_C,3,22,1.456,2,12,P,H-90,0,257.11,402.71,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,3.44,500,0.189,700,210,225,78.75,130.06,54.69,143.99,5.65,16,37.17,2.83,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
452,"Ma et al. (2013), LB8",Control.,R,SS_FPB_MONO,0,200,300,2400,2100,40,40,36,T_C,3,20,1.236,2,12,P,H-90,0,258.25,393.39,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,C,Control,0,0,0,0,0,N/A,0,0,0,700,153,173,60.55,100,49.09,123.34,5.25,15.35,29.14,2.92,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree."
453,"Ma et al. (2013), LB9",Three tensile reinforcing bars - two 18 mm deformed bars and one plain (center) 12 mm bar.,R,SS_FPB_MONO,0,200,300,2400,2100,34,34,31,T_C,3,18,1.037,2,12,P,H-90,0,234.81,369.28,0.377,2,P,100,8,250,0.503,OPC,0.52,25,Cylinder,30,IC,External stainless steel plate,2400,1800,4,5,300,N/A,3.32,500,0.149,700,110,154.9,54.22,89.54,38.98,139.09,4.5,15.15,24.44,3.37,Flexural-bending (ductile),"Ultimate load, yield and ultimate displacements based on ""typical"" load-deflection curves and are therefore assumed to be approximately averaged for each corrosion degree. Corrosion duration back calculated from Faraday's Law."
